 Time (k) , Proportion of sessions started in k  - weekdays , Proportion of sessions started in k - weekenddays 
0:00,0.0084,0.0106
0:15,0.0055,0.0115
0:30,0.0038,0.0102
0:45,0.0025,0.0077
1:00,0.0018,0.0063
1:15,0.0012,0.0052
1:30,0.0009,0.0045
1:45,0.0006,0.0037
2:00,0.0005,0.0025
2:15,0.0003,0.0022
2:30,0.0002,0.0015
2:45,0.0002,0.0010
3:00,0.0002,0.0008
3:15,0.0002,0.0007
3:30,0.0002,0.0006
3:45,0.0002,0.0007
4:00,0.0002,0.0005
4:15,0.0001,0.0004
4:30,0.0001,0.0004
4:45,0.0001,0.0003
5:00,0.0001,0.0002
5:15,0.0001,0.0003
5:30,0.0001,0.0002
5:45,0.0002,0.0002
6:00,0.0004,0.0003
6:15,0.0002,0.0002
6:30,0.0003,0.0002
6:45,0.0006,0.0003
7:00,0.0007,0.0005
7:15,0.0011,0.0008
7:30,0.0020,0.0009
7:45,0.0016,0.0013
8:00,0.0021,0.0014
8:15,0.0022,0.0021
8:30,0.0040,0.0025
8:45,0.0048,0.0029
9:00,0.0033,0.0032
9:15,0.0027,0.0036
9:30,0.0024,0.0046
9:45,0.0024,0.0053
10:00,0.0025,0.0063
10:15,0.0028,0.0068
10:30,0.0029,0.0081
10:45,0.0031,0.0092
11:00,0.0034,0.0101
11:15,0.0035,0.0114
11:30,0.0041,0.0123
11:45,0.0043,0.0144
12:00,0.0048,0.0146
12:15,0.0055,0.0147
12:30,0.0059,0.0156
12:45,0.0056,0.0156
13:00,0.0056,0.0156
13:15,0.0057,0.0158
13:30,0.0055,0.0157
13:45,0.0055,0.0149
14:00,0.0061,0.0154
14:15,0.0062,0.0154
14:30,0.0069,0.0150
14:45,0.0077,0.0162
15:00,0.0076,0.0162
15:15,0.0089,0.0175
15:30,0.0098,0.0173
15:45,0.0103,0.0182
16:00,0.0111,0.0198
16:15,0.0133,0.0201
16:30,0.0149,0.0229
16:45,0.0178,0.0252
17:00,0.0227,0.0277
17:15,0.0275,0.0259
17:30,0.0331,0.0257
17:45,0.0396,0.0239
18:00,0.0459,0.0218
18:15,0.0460,0.0215
18:30,0.0422,0.0185
18:45,0.0373,0.0172
19:00,0.0339,0.0163
19:15,0.0311,0.0161
19:30,0.0267,0.0164
19:45,0.0244,0.0167
20:00,0.0238,0.0166
20:15,0.0232,0.0175
20:30,0.0226,0.0172
20:45,0.0220,0.0169
21:00,0.0219,0.0158
21:15,0.0233,0.0158
21:30,0.0221,0.0153
21:45,0.0224,0.0154
22:00,0.0228,0.0155
22:15,0.0231,0.0149
22:30,0.0234,0.0151
22:45,0.0223,0.0125
23:00,0.0215,0.0118
23:15,0.0180,0.0109
23:30,0.0145,0.0098
23:45,0.0124,0.0089